date, pm25, pm10, o3, no2, so2, co
2020/2/22, 156, 184, 35, 37, 5, 11
2020/2/23, 158, 177, 37, 31, 7, 13
2020/2/24, 160, 164, 17, 29, 5, 10
2020/2/25, 140, 148, 28, 33, 6, 4
2020/2/26, 121, 154, 39, 35, 5, 8
2020/2/27, 153, 263, 35, 32, 12, 17
2020/2/28, 193, 235, 25, 25, 8, 14
2020/2/29, 173, 100, 18, 22, 1, 5
2020/1/1, 183, 120, 35, 36, 5, 7
2020/1/2, 169, 118, 36, 39, 5, 8
2020/1/3, 165, 118, 34, 41, 6, 8
2020/1/4, 165, 126, 33, 34, 6, 9
2020/1/5, 162, 142, 141, 34, 8, 8
2020/1/6, 185, 135, 33, 33, 3, 10
2020/1/7, 164, 121, 17, 27, 5, 10
2020/1/8, 147, 108, 37, 39, 4, 7
2020/1/9, 143, 131, 33, 38, 5, 10
2020/1/10, 157, 160, 30, 40, 4, 10
2020/1/11, 188, 165, 31, 32, 8, 13
2020/1/12, 180, 92, 21, 26, 2, 6
2020/1/13, 161, 85, 25, 25, 2, 5
2020/1/14, 120, 81, 25, 26, 2, 5
2020/1/15, 108, 81, 23, 29, 2, 5
2020/1/16, 130, 104, 30, 37, 3, 7
2020/1/17, 144, 136, 31, 54, 3, 9
2020/1/18, 163, 190, 33, 46, 6, 15
2020/1/19, 168, 158, 52, 45, 5, 15
2020/1/20, 167, 237, 28, 44, 8, 20
2020/1/21, 183, 191, 25, 42, 9, 17
2020/1/22, 225, 157, 31, 44, 8, 11
2020/1/23, 173, 133, 33, 42, 5, 10
2020/1/24, 161, 178, 65, 48, 7, 13
2020/1/25, 171, 208, 39, 47, 8, 16
2020/1/26, 167, 94, 20, 26, 3, 7
2020/1/27, 117, 86, 14, 20, 2, 5
2020/1/28, 96, 83, 19, 25, 1, 3
2020/1/29, 91, 115, 35, 37, 4, 7
2020/1/30, 137, 154, 31, 44, 6, 10
2020/1/31, 143, 170, 29, 50, 6, 13
2019/12/3, 85, 85, 26, 24, 3, 4
2019/12/4, 140, 87, 18, 30, 4, 6
2019/12/5, 141, 108, 20, 35, 7, 6
2019/12/6, 169, 115, 33, 39, 6, 6
2019/12/7, 160, 114, 42, 38, 6, 7
2019/12/8, 172, 102, 38, 34, 5, 6
2019/12/9, 162, 110, 39, 36, 5, 9
2019/12/10, 165, 119, 31, 40, 4, 9
2019/12/11, 177, 133, 36, 34, 7, 13
2019/12/12, 183, 100, 21, 34, 4, 7
2019/12/13, 150, 96, 28, 34, 4, 7
2019/12/14, 152, 108, 33, 32, 5, 8
2019/12/15, 164, 115, 30, 36, 5, 9
2019/12/16, 173, 121, 32, 32, 5, 9
2019/12/17, 170, 103, 33, 36, 6, 7
2019/12/18, 163, 102, 27, 37, 5, 7
2019/12/19, 162, 150, 59, 36, 7, 9
2019/12/20, 181, 122, 23, 54, 7, 10
2019/12/21, 172, 130, 25, 37, 8, 10
2019/12/22, 181, 120, 30, 31, 8, 11
2019/12/23, 176, 143, 57, 43, 7, 12
2019/12/24, 196, 147, 20, 43, 6, 10
2019/12/25, 203, 114, 19, 38, 6, 8
2019/12/26, 168, 119, 26, 36, 7, 9
2019/12/27, 174, 105, 20, 33, 5, 7
2019/12/28, 167, 101, 36, 30, 5, 6
2019/12/29, 165, , , , , 
2020/9/20, , 43, 10, 25, 4, 4
2020/7/6, , 29, 8, 7, 23, 1
2020/6/20, , 37, 6, 8, 2, 
2020/6/21, , 45, 5, 8, 2, 
2020/6/22, , 32, 6, 7, 2, 
2020/6/23, , 30, 8, 10, 2, 
2020/6/24, , 38, 133, 7, 3, 2
2019/12/31, , 150, 41, 40, 8, 12
2019/12/2, , 77, 34, 30, 40, 2
