Date,TempC
03/09/2010,23.16666667
04/09/2010,23.04166667
05/09/2010,22.54166667
06/09/2010,22.625
07/09/2010,22.91666667
08/09/2010,22.29166667
09/09/2010,22.45833333
10/09/2010,23.16666667
11/09/2010,23.375
12/09/2010,23.70833333
13/09/2010,23.875
14/09/2010,24
15/09/2010,23.79166667
16/09/2010,23.58333333
17/09/2010,23.5
18/09/2010,23.375
19/09/2010,23.5
20/09/2010,23.29166667
21/09/2010,24.45833333
22/09/2010,24.66666667
23/09/2010,24.54166667
24/09/2010,24.625
25/09/2010,23.91666667
26/09/2010,24.25
27/09/2010,24.54166667
28/09/2010,23.70833333
29/09/2010,24.66666667
30/09/2010,24.45833333
01/10/2010,23.45833333
02/10/2010,23.58333333
03/10/2010,24.875
04/10/2010,24.58333333
05/10/2010,24.5
06/10/2010,24.33333333
07/10/2010,24.16666667
08/10/2010,24.20833333
09/10/2010,23.66666667
10/10/2010,22.58333333
11/10/2010,22.41666667
12/10/2010,22.91666667
13/10/2010,22.91666667
14/10/2010,22.83333333
15/10/2010,22.91666667
16/10/2010,23.29166667
17/10/2010,23.58333333
18/10/2010,24.04166667
19/10/2010,23.625
20/10/2010,24.04166667
21/10/2010,23.5
22/10/2010,23.29166667
23/10/2010,22.70833333
24/10/2010,22.125
25/10/2010,22
26/10/2010,22.29166667
27/10/2010,21.70833333
28/10/2010,22.83333333
29/10/2010,22.33333333
30/10/2010,22.08333333
31/10/2010,21.25
01/11/2010,20.33333333
02/11/2010,21.33333333
03/11/2010,23
04/11/2010,23.375
05/11/2010,23.25
06/11/2010,22.70833333
07/11/2010,20.58333333
08/11/2010,21.41666667
09/11/2010,22.625
10/11/2010,23.91666667
11/11/2010,23.41666667
12/11/2010,23.25
13/11/2010,23.5
14/11/2010,22.25
15/11/2010,23.20833333
16/11/2010,22.41666667
17/11/2010,22.16666667
18/11/2010,22.25
19/11/2010,22.75
20/11/2010,23.16666667
21/11/2010,22.58333333
22/11/2010,21.91666667
23/11/2010,22.375
24/11/2010,22.875
25/11/2010,22.625
26/11/2010,22.58333333
27/11/2010,20.45833333
28/11/2010,20.58333333
29/11/2010,21.25
30/11/2010,21.20833333
