Date,WindSpeedKmph
2009-06-03,11.458333333333334
2009-06-04,12.125
2009-06-05,9.625
2009-06-06,9.458333333333334
2009-06-07,9.75
2009-06-08,10.791666666666666
2009-06-09,10.333333333333334
2009-06-10,9.541666666666666
2009-06-11,9.125
2009-06-12,11.541666666666666
2009-06-13,10.625
2009-06-14,10.416666666666666
2009-06-15,11.583333333333334
2009-06-16,12.0
2009-06-17,11.041666666666666
2009-06-18,9.166666666666666
2009-06-19,7.25
2009-06-20,4.625
2009-06-21,4.875
2009-06-22,6.625
2009-06-23,9.791666666666666
2009-06-24,8.833333333333334
2009-06-25,10.041666666666666
2009-06-26,10.583333333333334
2009-06-27,9.166666666666666
2009-06-28,9.375
2009-06-29,8.291666666666666
2009-06-30,8.25
2009-07-01,8.958333333333334
2009-07-02,9.333333333333334
2009-07-03,10.5
2009-07-04,11.0
2009-07-05,8.5
2009-07-06,8.291666666666666
2009-07-07,5.666666666666667
2009-07-08,6.0
2009-07-09,8.0
2009-07-10,10.0
2009-07-11,9.333333333333334
2009-07-12,12.541666666666666
2009-07-13,13.666666666666666
2009-07-14,13.791666666666666
2009-07-15,13.583333333333334
2009-07-16,12.875
2009-07-17,13.791666666666666
2009-07-18,12.958333333333334
2009-07-19,12.0
2009-07-20,12.875
